"Nome","Immagine","Canton","Stato","Occupazione","Residenza","Eta","Partito","Consiglio"
"Daniel Fässler","https://164.ch/grafiken_wahlen2023/Parlament/AI_SR_Mitte_Faessler_Daniel.jpg","Appenzello Interno","uscente","-","Appenzell",63,"Centro","Consiglio degli Stati"
"Thomas Rechsteiner","https://164.ch/grafiken_wahlen2023/Parlament/AI_NR_Mitte_Rechsteiner_Thomas.jpg","Appenzello Interno","uscente","selbstständig","Appenzello",52,"Centro","Nazionale"
"Andrea Caroni","https://164.ch/grafiken_wahlen2023/Parlament/AR_SR_FDP_Caroni_Andrea.jpg","Appenzello Esterno","uscente","-","Herisau",43,"PLR","Consiglio degli Stati"
"David Zuberbühler","https://164.ch/grafiken_wahlen2023/Parlament/AR_NR_SVP_Zuberbuehler_David.jpg","Appenzello Esterno","uscente","Unternehmer","Herisau",45,"UDC","Nazionale"
"Eva Herzog","https://164.ch/grafiken_wahlen2023/Parlament/BS_SR_SP_Herzog_Eva.jpg","Basilea Città","uscente","-","Basel",62,"PS","Consiglio degli Stati"
"Hans Wicki","https://164.ch/grafiken_wahlen2023/Parlament/NW_SR_FDP_Wicki_Hans.jpg","Nidvaldo","uscente","-","Hergiswil",60,"PLR","Consiglio degli Stati"
"Regina Durrer-Knobel","https://164.ch/grafiken_wahlen2023/Parlament/NW_NR_Mitte_Durrer-Knobel_Regina.jpg","Nidvaldo","nuovo","Wirtschaftslehrerin/Schulleiterin","Ennetmoos",52,"Centro","Nazionale"
"Erich Ettlin","https://164.ch/grafiken_wahlen2023/Parlament/OW_SR_Mitte_Ettlin_Erich.jpg","Obvaldo","uscente","-","Kerns",61,"Centro","Consiglio degli Stati"
"Monika Rüegger","https://164.ch/grafiken_wahlen2023/Parlament/OW_NR_SVP_Rueegger_Monika.jpg","Obvaldo","uscente","Metallbauplanerin","Engelberg",55,"UDC","Nazionale"
"Pirmin Bischof","https://164.ch/grafiken_wahlen2023/Parlament/SO_SR_MITTE_Bischof_Pirmin.jpg","Soletta","uscente","-","-",65,"Centro","Consiglio degli Stati"
